scenario_id,pest_true,pest_pred,pest_prob,crop_true,crop_pred,crop_prob,temp_c,humidity,rain_mm,wind_mps,season,growth_stage,risk,gt_spray,static_sprayer,static_action,adapt_sprayer,adapt_action,weather_penalty
0,beetle,"ground beetle, carabid beetle",0.5356412529945374,Parsley plant,daisy,0.13844573497772217,27.523585398772155,52.32432008046273,3.3249914738627973,1.4767682624382161,spring,seedling,0.3403385075926781,0,0,MONITOR,0,MONITOR,0.0
1,stem_borer,"long-horned beetle, longicorn, longicorn beetle",0.9018887281417847,Cucumbers and gherkins plant,"axolotl, mud puppy, Ambystoma mexicanum",0.023024752736091614,20.80007946879752,48.74451758962909,9.404646987613132,2.8114501186858463,summer,vegetative,0.4021570425108075,0,1,SPRAY_AND_MONITOR,1,SPRAY_AND_MONITOR,0.35
2,mosquito,"harvestman, daddy longlegs, Phalangium opilio",0.02200191654264927,Oranges plant,"pot, flowerpot",0.08305365592241287,29.752255979032284,70.16907357125537,2.5822836552799875,2.8098954243966725,autumn,flowering,0.26833664072677493,0,0,MONITOR,0,MONITOR,0.0
3,mites,tick,0.9435155391693115,Vanilla beans plant,pinwheel,0.03152608871459961,30.702823581956068,70.68920051547744,5.4180008995981925,3.0821470706434972,autumn,flowering,0.46269640803337103,0,1,SPRAY_AND_MONITOR,1,SPRAY_AND_MONITOR,0.35
4,beetle,"leaf beetle, chrysomelid",0.3104771077632904,Turmeric plant,Band Aid,0.04727959632873535,16.24482405673082,84.30996667407598,2.8409464716769173,2.9043480112722286,autumn,seedling,0.2759878981113434,0,0,MONITOR,0,MONITOR,0.0
5,armyworm,"nematode, nematode worm, roundworm",0.1772918552160263,Sunflower seeds plant,"web site, website, internet site, site",0.037785086780786514,19.48910246568841,81.49969475513126,4.5194696651976765,1.4874280257703323,summer,maturity,0.1951442847494036,0,0,MONITOR,0,MONITOR,0.0
6,bollworm,"nematode, nematode worm, roundworm",0.0787423849105835,Hazelnuts plant,"feather boa, boa",0.02692432515323162,26.639202015836428,63.016570152032415,3.363834497126108,0.8801591052451407,summer,seedling,0.2716985275177285,0,0,MONITOR,0,MONITOR,0.0
7,aphids,"lacewing, lacewing fly",0.03562473878264427,Cloves plant,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.18008266389369965,24.41878703828209,46.33691181708696,1.7305072609013643,3.5468184159541223,spring,vegetative,0.18710087541490794,0,0,MONITOR,0,MONITOR,0.0
8,beetle,"ground beetle, carabid beetle",0.5356412529945374,Millet plant,"web site, website, internet site, site",0.374234676361084,25.915994212478555,60.21340104483653,4.65840389780953,2.7230014930226987,summer,maturity,0.32865421056747435,0,0,MONITOR,0,MONITOR,0.0
9,beetle,"long-horned beetle, longicorn, longicorn beetle",0.6778238415718079,Lettuce and chicory plant,vine snake,0.07730000466108322,21.7347803621321,68.25846792215788,5.72419443869158,3.8792522091493815,summer,vegetative,0.36168249590322377,0,0,MONITOR,0,MONITOR,0.35
10,grasshopper,"grasshopper, hopper",0.743196427822113,Onions (dry) plant,bittern,0.011579318903386593,30.396989874314144,61.96875131915894,6.594602718449011,2.4463204789745583,summer,flowering,0.4653848534426652,1,1,SPRAY_AND_MONITOR,1,SPRAY_AND_MONITOR,0.35
11,mosquito,fly,0.1451883167028427,Lentils plant,golf ball,0.14869630336761475,29.88895967714474,56.331588378835164,4.161274467044847,0.8138027671876475,spring,vegetative,0.2061045789718628,0,0,MONITOR,0,MONITOR,0.0
12,armyworm,"ear, spike, capitulum",0.25440943241119385,Flaxseed (Linseed) plant,"hip, rose hip, rosehip",0.03165961056947708,26.33015348780608,68.79327222454849,0.0740139323260301,3.6593556172049273,autumn,flowering,0.3111147618480027,0,0,MONITOR,0,MONITOR,0.0
13,sawfly,bee,0.21856188774108887,Cassava plant,mashed potato,0.09759850800037384,31.636206034840164,57.44063387884084,4.861439318733304,2.0555552684066716,summer,flowering,0.3639433728531003,0,0,MONITOR,0,MONITOR,0.0
14,armyworm,"ear, spike, capitulum",0.8989418745040894,Sunflower seeds plant,nail,0.04852881282567978,28.337546711260227,55.57900874411939,0.8485104216094099,2.9104041489052253,summer,flowering,0.5056531444750726,0,1,SPRAY_AND_MONITOR,1,SPRAY_AND_MONITOR,0.0
15,sawfly,bee,0.2713207006454468,Cucumbers and gherkins plant,"axolotl, mud puppy, Ambystoma mexicanum",0.023024752736091614,21.70353768558381,69.6717925145516,3.9945118431192563,1.723048685824577,spring,vegetative,0.21343207646161322,0,0,MONITOR,0,MONITOR,0.0
16,bollworm,head cabbage,0.09594923257827759,Olives plant,"lakeside, lakeshore",0.010926399379968643,27.843753920412496,58.97011129806193,4.499708123383254,4.473162052280428,summer,flowering,0.322884371066466,0,0,MONITOR,0,MONITOR,0.0
17,beetle,rhinoceros beetle,0.47615212202072144,Chestnuts plant,cardoon,0.01396601926535368,21.205586995855008,68.66156583467529,0.3302118668747868,1.4481222109801637,summer,vegetative,0.3070229449751787,0,0,MONITOR,0,MONITOR,0.0
18,beetle,weevil,0.90670245885849,Potatoes plant,"maze, labyrinth",0.03344140574336052,30.39225150653636,69.09806034278184,3.5269051039303396,2.0950842950725903,summer,maturity,0.5543833103310317,0,1,SPRAY_AND_MONITOR,1,SPRAY_AND_MONITOR,0.0
19,mosquito,"ant, emmet, pismire",0.030639952048659325,Fava bean plant,"dalmatian, coach dog, carriage dog",0.023538006469607353,25.750370445068736,47.90856498362638,0.5697121415839993,2.6289384432367795,summer,vegetative,0.21056571550201625,0,0,MONITOR,0,MONITOR,0.0
20,mites,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.2875480353832245,Cashew nuts plant,"rock beauty, Holocanthus tricolor",0.060520924627780914,25.075688182273698,57.78138314201882,0.05802808265565562,1.1893812074956502,spring,vegetative,0.22309521803632382,0,0,MONITOR,0,MONITOR,0.0
21,mosquito,"barn spider, Araneus cavaticus",0.4264174997806549,Olives plant,"medicine chest, medicine cabinet",0.1807231903076172,22.595352277980293,86.56665409874694,0.5496744148941387,2.896623434305114,winter,maturity,0.17317936837673187,0,0,MONITOR,0,MONITOR,0.1
22,stem_borer,"grasshopper, hopper",0.7377562522888184,Starfruit plant,bolete,0.0788005068898201,32.11270669337015,47.5688073089857,3.1278759554141935,4.434292572960988,spring,vegetative,0.32511145787313583,0,0,MONITOR,0,MONITOR,0.0
23,mites,tick,0.261301726102829,Plantains plant,"bolo tie, bolo, bola tie, bola",0.09824773669242859,25.22735258965599,33.25018326544203,2.952422172144477,1.9114454071675475,summer,vegetative,0.2734516369551421,0,0,MONITOR,0,MONITOR,0.0
24,sawfly,"nematode, nematode worm, roundworm",0.5131416916847229,Cocoa beans plant,"African chameleon, Chamaeleo chamaeleon",0.05526092275977135,23.858360889184464,37.072322701362324,2.1016911586061564,2.9741713828380707,spring,flowering,0.3718710721191019,0,0,MONITOR,0,MONITOR,0.0
25,bollworm,"ear, spike, capitulum",0.4893393814563751,Strawberries plant,"rock beauty, Holocanthus tricolor",0.07554110884666443,24.239332247558853,65.43664919865004,5.5412824301582795,0.0,summer,seedling,0.3699300941079855,0,0,MONITOR,0,MONITOR,0.35
26,stem_borer,"nematode, nematode worm, roundworm",0.22720754146575928,Starfruit plant,"flatworm, platyhelminth",0.026005657389760017,28.661545927766745,65.46375917049049,2.7883731182689413,2.453284959418191,summer,seedling,0.30421157844830304,0,0,MONITOR,0,MONITOR,0.0
27,mites,tick,0.884025514125824,Pine nuts plant,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.12520697712898254,27.82722032182039,63.235837168623185,4.915743227100389,2.1243492568885536,autumn,vegetative,0.364831746891141,0,0,MONITOR,0,MONITOR,0.0
